Generator Name,Pass,Fail,Total,Time
prog1_syn,20000,0,20000,0.2s
prog2_cov,3062,0,20200,0.2s
prog,20000,0,20000,0.1s
prog2_safe,20000,0,20000,0.0s
prog1_cov,1064,0,20200,0.5s
prog1_safe,20000,0,20000,0.1s
prog2_syn,20000,0,20000,0.2s
