Generator Name,Pass,Fail,Total,Time
prog1_syn,20000,0,20000,0.0s
prog3_safe,20000,0,20000,0.0s
prog4_syn,20000,0,20000,0.0s
prog2_cov,3454,0,20200,1.7s
prog3_syn,20000,0,20000,0.0s
prog,20000,0,20000,0.0s
prog4_cov,11766,0,20200,0.3s
prog2_safe,20000,0,20000,0.0s
prog1_cov,14549,0,20200,0.5s
prog1_safe,20000,0,20000,0.0s
prog4_safe,20000,0,20000,0.0s
prog2_syn,20000,0,20000,0.0s
prog3_cov,20000,0,20000,0.0s
